site_grouping-trap_number,site_grouping-longitude,site_grouping-latitude,site_grouping-elevation,site_grouping-selected_habitat_trap,site_grouping-selected_proximity,site_grouping-selected_land_type,site_grouping-bait_type,site_grouping-trap_image,PARENT_KEY,KEY
116,8.2,0.5398,191.0,fallow_land,,bush,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[28]
117,8.2041,0.5252,191.0,agricultural,road,bush,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[29]
118,8.204,0.5278,191.0,agricultural,,edge cassava_plant,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[30]
119,8.2047,0.5291,190.0,agricultural,,cassava_plant,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[31]
120,8.2044,0.5301,190.0,agricultural,,cassava_plant,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[32]
121,8.204,0.5327,190.0,agricultural,,edge cassava_plant,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[33]
122,8.2054,0.5357,191.0,fallow_land,tree,banana_tree,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[34]
123,8.2054,0.5386,190.0,fallow_land,,banana_tree,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[35]
124,8.2072,0.5249,190.0,agricultural,road,cassava_plant,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[36]
125,8.2073,0.527,190.0,agricultural,,cassava_plant,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[37]
126,8.2073,0.5288,189.0,agricultural,,cassava_plant,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[38]
127,8.2068,0.5314,190.0,agricultural,,edge cassava_plant,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[39]
128,8.2072,0.5346,192.0,fallow_land,tree,,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[40]
129,8.2082,0.5368,191.0,fallow_land,,bush,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[41]
130,8.2079,0.5401,190.0,fallow_land,,bush,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[42]
131,8.2109,0.5245,191.0,agricultural,road,bush cassava_plant,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[43]
132,8.2094,0.5284,192.0,agricultural,,cassava_plant,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[44]
133,8.2102,0.5305,194.0,agricultural,,edge banana_tree,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[45]
134,8.2116,0.5318,193.0,fallow_land,,bush,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[46]
135,8.2131,0.5338,194.0,fallow_land,,bush,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[47]
136,8.2155,0.5341,192.0,fallow_land,,bush,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[48]
137,8.2171,0.5338,192.0,fallow_land,,banana_tree edge,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[49]
104,8.4633,0.5496,272.0,agricultural,fallen_log,rice_plants,oats,,uuid:361a7088-0803-455f-8850-5b369f2c0c83,uuid:361a7088-0803-455f-8850-5b369f2c0c83/trap[1]
105,8.4632,0.5529,275.0,agricultural,fallen_log,rocks rice_plants,oats,,uuid:361a7088-0803-455f-8850-5b369f2c0c83,uuid:361a7088-0803-455f-8850-5b369f2c0c83/trap[2]
106,8.4635,0.5546,275.0,agricultural,,rice_plants,oats,,uuid:361a7088-0803-455f-8850-5b369f2c0c83,uuid:361a7088-0803-455f-8850-5b369f2c0c83/trap[3]
107,8.4629,0.5569,275.0,agricultural,,rocks,oats,,uuid:361a7088-0803-455f-8850-5b369f2c0c83,uuid:361a7088-0803-455f-8850-5b369f2c0c83/trap[4]
108,8.4605,0.5616,279.0,agricultural,fallen_log,,oats,,uuid:361a7088-0803-455f-8850-5b369f2c0c83,uuid:361a7088-0803-455f-8850-5b369f2c0c83/trap[5]
109,8.4606,0.5624,278.0,agricultural,,rocks,oats,,uuid:361a7088-0803-455f-8850-5b369f2c0c83,uuid:361a7088-0803-455f-8850-5b369f2c0c83/trap[6]
52,8.4383,0.5446,273.0,agricultural,path,clearing rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[1]
53,8.4376,5458.0,274.0,agricultural,path,clearing rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[2]
54,8.437,0.548,276.0,agricultural,path,clearing,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[3]
56,8.4353,0.5499,276.0,agricultural,fallen_log,rocks,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[4]
58,8.4349,0.5513,276.0,agricultural,,rocks,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[5]
59,8.4331,0.5537,278.0,agricultural,tree fallen_log,,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[6]
61,8.4409,0.5448,275.0,agricultural,path,,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[7]
62,8.44,0.5465,272.0,agricultural,fallen_log,rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[8]
63,8.4421,0.5469,269.0,agricultural,fallen_log,rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[9]
64,8.441,0.5501,276.0,agricultural,fallen_log,rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[10]
65,8.4407,0.5526,277.0,agricultural,path,rocks rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[11]
66,8.4397,0.555,279.0,agricultural,fallen_log,rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[12]
67,8.4387,0.5582,281.0,agricultural,path,rocks,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[13]
68,8.4455,0.5459,272.0,agricultural,path,rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[14]
69,8.4457,0.546,271.0,agricultural,,rice_plants rocks,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[15]
70,8.4453,0.5486,278.0,agricultural,fallen_log,rocks burnt_land rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[16]
71,8.4458,0.551,278.0,agricultural,fallen_log,burnt_land rice_plants rocks,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[17]
72,8.4448,0.5534,279.0,agricultural,,clearing rocks,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[18]
73,8.4446,0.5546,279.0,agricultural,fallen_log,rice_plants burnt_land rocks,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[19]
74,8.4436,0.5576,280.0,agricultural,fallen_log,clearing rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[20]
75,8.4496,0.5431,272.0,agricultural,path,rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[21]
76,8.4501,0.5467,270.0,agricultural,fallen_log,rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[22]
77,8.4491,0.548,271.0,agricultural,,rocks,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[23]
78,8.4486,0.5519,278.0,agricultural,fallen_log,rice_plants rocks,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[24]
79,8.4487,0.5548,280.0,agricultural,fallen_log,rice_plants rocks,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[25]
80,8.448,0.5571,280.0,agricultural,fallen_log,rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[26]
81,8.4467,0.5588,281.0,agricultural,anthill_termitemound,rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[27]
82,8.4529,0.544,269.0,agricultural,tree,rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[28]
83,8.4527,0.5453,267.0,agricultural,anthill_termitemound,rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[29]
84,8.4521,0.5486,273.0,agricultural,fallen_log,rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[30]
85,8.4532,0.5524,276.0,agricultural,fallen_log,rice_plants rocks,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[31]
86,8.4512,0.5552,279.0,agricultural,,rocks rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[32]
87,8.451,0.5579,281.0,agricultural,,rocks,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[33]
